episode,reward,steps,isolated,iso_step,served_total,served_crit,served_imp,pf_success_any,pf_fail_steps,switch_toggles,cascade_trips_total,shed_frac,shed_nodes,der_bound_frac,der_bound_mw_last,served_mw_last
1,2740.500484312344,120,0,-1,0.8304172274562585,1.0,1.0,1,0,0,0,0.16958277254374154,6,nan,nan,nan
2,2797.9440643088424,120,0,-1,0.8304172274562585,1.0,1.0,1,0,0,0,0.16958277254374154,6,nan,nan,nan
3,2911.386248874481,120,0,-1,0.8304172274562585,1.0,1.0,1,0,0,0,0.16958277254374154,6,nan,nan,nan
4,2989.72167020933,120,0,-1,0.8304172274562585,1.0,1.0,1,0,0,0,0.16958277254374154,6,nan,nan,nan
5,2604.4538238248683,120,0,-1,0.8304172274562585,1.0,1.0,1,0,0,0,0.16958277254374154,6,nan,nan,nan
6,2666.012479738537,120,0,-1,0.8304172274562585,1.0,1.0,1,0,0,0,0.16958277254374154,6,nan,nan,nan
7,2786.9377511243006,120,0,-1,0.8304172274562585,1.0,1.0,1,0,0,0,0.16958277254374154,6,nan,nan,nan
8,2747.5361113603376,120,0,-1,0.8304172274562585,1.0,1.0,1,0,0,0,0.16958277254374154,6,nan,nan,nan
9,2881.9741848141744,120,0,-1,0.8304172274562585,1.0,1.0,1,0,0,0,0.16958277254374154,6,nan,nan,nan
10,2637.499567500132,120,0,-1,0.8304172274562585,1.0,1.0,1,0,0,0,0.16958277254374154,6,nan,nan,nan
